Dates;Eolien;Capa_eol;TCH_eol
2014-01-17 09:00:00;3812.666666666666;8193;0.46535660523210864
2014-01-17 12:00:00;3590.833333333333;8193;0.43828064607998696
2014-01-17 15:00:00;3160.666666666666;8193;0.3857764758533707
2014-01-17 18:00:00;3265.333333333333;8193;0.3985516090971968
2014-01-17 21:00:00;3424.5;8193;0.4179787623581106
2014-01-18 00:00:00;3187.333333333333;8196;0.38888888888888884
2014-01-18 03:00:00;3241.666666666666;8196;0.39551813892955906
2014-01-18 06:00:00;3766.833333333334;8196;0.4595941109484302
2014-01-18 09:00:00;3931.666666666666;8196;0.47970554742150634
2014-01-18 12:00:00;3207.833333333333;8196;0.3913901089962583
2014-01-18 15:00:00;2865.5;8196;0.34962176671547096
2014-01-18 18:00:00;3144.0;8196;0.383601756954612
2014-01-18 21:00:00;2826.166666666666;8196;0.3448226777289734
2014-01-19 00:00:00;2455.6666666666665;8199;0.2995080700898483
2014-01-19 03:00:00;1725.333333333333;8199;0.21043216652437285
2014-01-19 06:00:00;1022.5;8199;0.12471033052811319
2014-01-19 09:00:00;543.1666666666666;8199;0.06624791641257063
2014-01-19 12:00:00;364.66666666666674;8199;0.044476968736024726
2014-01-19 15:00:00;351.66666666666674;8199;0.042891409521486366
2014-01-19 18:00:00;417.0;8199;0.0508598609586535
2014-01-19 21:00:00;649.6666666666666;8199;0.07923730536244257
2014-01-20 00:00:00;877.0;8202;0.10692514020970495
2014-01-20 03:00:00;1061.1666666666667;8202;0.1293790132488011
2014-01-20 06:00:00;1201.8333333333333;8202;0.14652930179630982
2014-01-20 09:00:00;1159.8333333333333;8202;0.14140859952857027
2014-01-20 12:00:00;1143.6666666666667;8202;0.13943753556043242
2014-01-20 15:00:00;1284.1666666666667;8202;0.15656750386084695
2014-01-20 18:00:00;1456.5;8202;0.17757863935625456
2014-01-20 21:00:00;1387.833333333333;8202;0.16920669755344223
2014-01-21 00:00:00;1326.1666666666667;8207;0.1615896998497218
2014-01-21 03:00:00;1164.5;8207;0.14189106859997563
2014-01-21 06:00:00;1199.3333333333333;8207;0.14613541285894155
2014-01-21 09:00:00;1285.8333333333333;8207;0.1566751959709191
2014-01-21 12:00:00;1252.1666666666667;8207;0.15257300678282767
2014-01-21 15:00:00;1249.1666666666667;8207;0.15220746517200764
2014-01-21 18:00:00;1614.333333333333;8207;0.19670200235571256
2014-01-21 21:00:00;1918.833333333333;8207;0.2338044758539458
2014-01-22 00:00:00;1757.0;8210;0.21400730816077954
2014-01-22 03:00:00;1649.333333333333;8210;0.2008932196508323
2014-01-22 06:00:00;1680.333333333333;8210;0.20466910272025982
2014-01-22 09:00:00;1299.8333333333333;8210;0.1583231831100284
